# Ultimate compression benchmark

## Results for examples/database.sql:

Tool                                    CS     CT    DT  Result
zstd (ultra) (v1.4.9) (level 17)    2936864   67130   320  Ok
zstd (ultra) (v1.4.9) (level 18)    2667527  119782   269  Ok
zstd (ultra) (v1.4.9) (level 19)    2476591  156183   271  Ok
zstd (ultra) (v1.4.9) (level 20)    2474382  163759   323  Ok
zstd (ultra) (v1.4.9) (level 21)    2473951  198128   320  Ok
zstd (ultra) (v1.4.9) (level 22)    2409262  386476   322  Ok
zstd (fast) (v1.4.9) (level 1)      4977519     470   321  Ok
zstd (fast) (v1.4.9) (level 2)      4979619     471   321  Ok
zstd (fast) (v1.4.9) (level 3)      4979602     474   321  Ok
zstd (fast) (v1.4.9) (level 4)      4985930     472   320  Ok
zstd (fast) (v1.4.9) (level 5)      4985201     473   269  Ok
zstd (fast) (v1.4.9) (level 6)      4989205     471   320  Ok
zstd (fast) (v1.4.9) (level 7)      4993499     471   271  Ok
zstd (fast) (v1.4.9) (level 8)      5000284     470   322  Ok
zstd (fast) (v1.4.9) (level 9)      5001743     476   320  Ok
zstd (fast) (v1.4.9) (level 10)     5007539     471   323  Ok
zstd (fast) (v1.4.9) (level 11)     5007215     473   320  Ok
zstd (fast) (v1.4.9) (level 12)     5010863     471   272  Ok
zstd (fast) (v1.4.9) (level 13)     5011049     469   322  Ok
zstd (fast) (v1.4.9) (level 14)     5020425     472   320  Ok
zstd (fast) (v1.4.9) (level 15)     5019669     471   323  Ok
zstd (fast) (v1.4.9) (level 16)     5017964     473   322  Ok
zstd (fast) (v1.4.9) (level 17)     5017777     473   321  Ok
